# NOAA NCEI Thermal Springs List for the United States (1981)
# source:    https://www.ncei.noaa.gov/data/oceans/archive/arc0238/0303600/1.1/data/0-data/geothermal_database/data/NCEI-thermal-springs.xlsx
# doi:       10.25921/c8p0-zs06
# sha256:    bb3e65d8fbf34d25b6e6d071f86dc5d67f68ee022d55ff7aac428d29283d351c
# licence:   CC0-1.0 Public Domain Dedication
# retrieved: 2026-09-07
# Generated by scripts/fetch-ncei.mjs. Do not edit by hand.
state	lat	lng	name	tf	tc
AZ	34.563000000000002	-113.497	KAISER HOT SPRING	99	37
AZ	36.195999999999998	-113.081	LAVA WARM SPRINGS	90	32
AZ	31.591999999999999	-109.51	LEWIS SPRING	68	20
AZ	32.337000000000003	-110.708	MERCER SPRING	77	25
AZ	33.152000000000001	-110.639	MESCAL WARM SPRING	84	29
AZ	33.914999999999999	-112.33199999999999	MITCHELL SPRING	79	26
AZ	31.637	-110.703	MONKEY SPRING	82	28
AZ	32.326999999999998	-110.22799999999999	N-O SPRING	73	23
AZ	34.896000000000001	-114.30800000000001	OATMAN WARM SPRINGS	91	33
AZ	36.417999999999999	-113.956	PAKOON SPRINGS	86	30
AZ	33.209000000000003	-110.818	PIONEER SPRING	91	33
AZ	31.943000000000001	-113.01300000000001	QUITOBAQUITO SPRINGS	90	32
AZ	32.741	-114.068	RADIUM HOT SPRINGS	140	60
AZ	33.668999999999997	-111.16500000000001	ROOSEVELT DAM SPRINGS	118	48
AZ	34.436	-109.402	SALADO SPRINGS	72	22
AZ	33.831000000000003	-110.574	SALT BANKS	78	26
AZ	33.075000000000003	-109.298	SEEP	95	35
AZ	34.649000000000001	-111.744	SODA SPRING	75	24
AZ	34.405000000000001	-111.602	SPRING	72	22
AZ	33.253	-110.703	SPRING	75	24
AZ	33.162999999999997	-110.66200000000001	SPRING	82	28
AZ	34.445	-112.693	SPRING	72	22
AZ	34.076000000000001	-111.708	SPRING (HOT)	99	37
AZ	36.895000000000003	-113.913	SPRINGS	79	26
AZ	34.909999999999997	-113.608	TOM BROWN WARM SPRING	82	28
AZ	34.32	-111.453	TONTO NATURAL BRIDGE SPRING	72	22
AZ	35.076999999999998	-113.267	TROUT CREEK SPRING	81	27
AZ	34.356999999999999	-111.71	VERDE HOT SPRINGS	104	40
AZ	33.067999999999998	-109.97499999999999	WARM SPRING	90	32
AZ	33.061999999999998	-109.482	WARM SPRING	73	23
AZ	33.78	-110.31699999999999	WARM SPRING	W	W
AZ	32.982999999999997	-110.373	WARM SPRING	79	26
AZ	32.344999999999999	-110.247	WARM SPRINGS	91	33
AZ	33.438000000000002	-110.21299999999999	WARM SPRINGS	86	30
AZ	33.198	-110.66800000000001	null	99	37
AZ	33.747999999999998	-110.235	null	83	28
AZ	35.11	-113.81	null	73	23
CA	39.021999999999998	-122.444	ABBOTT MINE	86	30
CA	38.654000000000003	-122.48399999999999	AETNA SPRINGS	91	33
CA	34.537999999999997	-119.56	AGUA CALIENTE SPRING	133	56
CA	32.947000000000003	-116.30500000000001	AGUA CALIENTE SPRINGS	101	38
CA	33.363	-117.017	AGUA TIBIA SPRING	92	33
CA	37.503	-121.904	ALAMEDA WARM SPRINGS	80	27
CA	40.302	-120.19499999999999	AMEDEE HOT SPRINGS	203	95
CA	38.773000000000003	-122.705	ANDERSON SPRINGS	108	42
CA	34.185000000000002	-117.262	ARROWHEAD SPRINGS, WATERMAN HOT SPR	194	90
CA	38.85	-122.667	BAD CREEK SPRING	81	27
CA	35.841999999999999	-117.38	BAINTER SPRING	92	33
CA	38.892000000000003	-122.533	BAKER SODA SPRING	76	24
CA	41.167000000000002	-120.032	BARE RANCH SPRING	90	32
CA	39.183	-122.7	BARTLETT SPRINGS	144	62
CA	41.143000000000001	-121.11	BASSETT HOT SPRINGS	174	79
CA	37.802	-118.532	BENTON HOT SPRINGS	134	57
CA	37.887999999999998	-118.48699999999999	BERTRAND RANCH SPRINGS	70	21
CA	41.024999999999999	-121.92400000000001	BIG BEND HOT SPRINGS	180	82
CA	39.006	-122.78700000000001	BIG SODA SPRING	90	32
CA	37.234000000000002	-118.881	BLANEY MEADOWS HOT SPRINGS	109	43
CA	39.031999999999996	-122.432	BLANK SPRING, MANZANITA MINE SPRS	112	45
CA	41.918999999999997	-122.369	BOGUS SODA SPRINGS	76	24
CA	40.433999999999997	-121.399	BOILING SPRINGS LAKE	190	88
CA	34.423000000000002	-119.538	BORON SPRING	72	22
CA	39.225999999999999	-120.01	BROCKWAY HOT SPRINGS	131	55
CA	38.237000000000002	-119.32599999999999	BUCKEYE HOT SPRING	140	60
CA	40.454999999999998	-121.501	BUMPASS HELL	199	93
CA	37.847000000000001	-121.63500000000001	BYRON HOT SPRINGS	96	36
CA	35.881	-118.67	CALIFORNIA HOT SPRINGS	122	50
CA	38.58	-122.575	CALISTOGA HOT SPRINGS	172	78
CA	35.4	-120.25	CAMETA WARM SPRING	73	23
CA	39.573	-120.348	CAMPBELL HOT SPRINGS	111	44
CA	33.545000000000002	-115.654	CANYON SPRING	97	36
CA	38.915999999999997	-122.79900000000001	CARLSBAD SPRING	76	24
CA	35.439	-119.846	CARNEROS SPRING	90	32
CA	37.646999999999998	-118.85899999999999	CASA DIABLO HOT POOL	165	74
CA	37.648000000000003	-118.914	CASA DIABLO HOT SPRINGS AND GEYSER	199	93
CA	38.768000000000001	-122.717	CASTLE ROCK SPRINGS	163	73
CA	37.637999999999998	-118.887	CHANCE SPRING	73	23
CA	35.945999999999998	-116.18899999999999	CHAPPO SPRING	80	27
CA	36.143999999999998	-120.55500000000001	COALINGA MINERAL SPRINGS	112	44
CA	33.625	-115.325	CORN SPRING	72	22
CA	36.045000000000002	-117.76900000000001	COSO HOT SPRINGS	207	97
CA	39.292000000000002	-122.821	CRABTREE HOT SPRINGS	106	41
CA	37.631999999999998	-121.762	CROHARE SPRING	70	21
CA	38.994999999999997	-122.642	DAVIS SODA SPRING	73	23
CA	33.436	-117.324	DE LUZ WARM SPRINGS	85	29
CA	37.677	-118.79	DEHY HOT SPRING	134	57
CA	35.558	-118.61199999999999	DELONEGHA HOT SPRINGS	112	44
CA	35.527999999999999	-118.66500000000001	DEMOCRAT HOT SPRINGS	115	46
CA	36.036000000000001	-117.80200000000001	DEVILS KITCHEN	207	97
CA	40.44	-121.434	DEVILS KITCHEN	203	95
CA	36.33	-117.94799999999999	DIRTY SOCKS HOT SPRING	93	34
CA	36.084000000000003	-121.584	DOLANS HOT SPRING	98	37
CA	33.512	-115.827	DOS PALMAS SPRING	84	29
CA	40.444000000000003	-121.40900000000001	DRAKESBAD	151	66
CA	33.896000000000001	-117.057	EDEN HOT SPRINGS	109	43
CA	34.158999999999999	-118.499	EL ENCINO SPRINGS	79	26
CA	39.057000000000002	-122.47499999999999	ELGIN MINE	156	69
CA	38.896999999999998	-122.88200000000001	ENGLAND SPRINGS	76	24
CA	41.491999999999997	-120.7	ESSEX SPRINGS	91	33
CA	33.664000000000001	-117.913	FAIRVIEW HOT SPRING	96	36
CA	38.347999999999999	-119.4	FALES HOT SPRINGS	180	82
CA	37.531999999999996	-119.02500000000001	FISH CREEK HOT SPRINGS	110	43
CA	33.406999999999996	-116.035	FISH SPRINGS	90	32
CA	41.86	-120.158	FORT BIDWELL HOT SPRING	113	45
CA	39.347999999999999	-122.66800000000001	FOUTS SPRINGS	79	26
CA	36.030999999999999	-117.833	FUMAROLE	203	95
CA	38.978999999999999	-122.65900000000001	FUMAROLE	H	H
CA	37.622	-119.02800000000001	FUMAROLES	H	H
CA	33.835000000000001	-116.988	GILMAN HOT SPRINGS	117	47
CA	37.107999999999997	-121.47799999999999	GILROY HOT SPRINGS	106	41
CA	33.753	-117.495	GLEN IVY HOT SPRINGS	131	55
CA	38.835000000000001	-122.73099999999999	GORDON WARM SPRINGS	97	36
CA	37.029000000000003	-117.383	GRAPEVINE SPRINGS	100	38
CA	39.002000000000002	-122.498	GRIZZLY SPRING	68	20
CA	38.698999999999998	-119.846	GROVERS HOT SPRINGS	147	64
CA	40.393000000000001	-121.50700000000001	GROWLER HOT SPRING	203	95
CA	38.784999999999997	-122.655	HARBIN SPRINGS	120	49
CA	40.244999999999997	-120.00700000000001	HIGH ROCK SPRING	86	30
CA	33.969000000000001	-116.94199999999999	HIGHLAND SPRINGS	112	44
CA	38.936	-122.907	HIGHLAND SPRINGS	84	29
CA	38.924999999999997	-122.77	HILDEBRANDE SPRING	77	25
CA	38.799999999999997	-123.17	HOODS HOT SPRINGS	100	38
CA	38.994	-122.742	HORSESHOE SPRING	108	42
CA	37.664999999999999	-118.828	HOT CREEK GORGE SPRINGS	199	93
CA	37.655999999999999	-118.834	HOT CREEK SPRINGS	171	77
CA	41.606999999999999	-121.523	HOT SPOT	191	88
CA	37.707999999999998	-118.813	HOT SPRING	68	20
CA	38.048000000000002	-119.081	HOT SPRING	151	66
CA	35.726999999999997	-118.408	HOT SPRING	113	45
CA	40.363999999999997	-120.24299999999999	HOT SPRING	204	96
CA	41.406999999999996	-122.197	HOT SPRING, FUMAROLES	183	84
CA	41.012	-121.274	HOT SPRINGS	H	H
CA	37.648000000000003	-118.806	HOT SPRINGS	129	54
CA	41.265999999999998	-120.08	HOT SPRINGS (MENLO BATHS)	135	57
CA	41.533999999999999	-120.078	HOT SPRINGS (SURPRISE VALLEY)	208	98
CA	40.44	-121.42	HOT SPRINGS VALLEY	83	28
CA	38.857999999999997	-122.67100000000001	HOWARD SPRINGS	113	45
CA	41.036000000000001	-121.926	HUNT HOT SPRING	136	58
CA	40.142000000000003	-120.935	INDIAN VALLEY HOT SPRINGS	106	41
CA	36.773000000000003	-120.898	IRIDAT SPRING	73	23
CA	39.656999999999996	-123.58499999999999	JACKSON VALLEY MUD SPRINGS	80	27
CA	32.616999999999997	-116.18899999999999	JACUMBA HOT SPRINGS	101	38
CA	39.033000000000001	-122.44499999999999	JONES FOUNTAIN OF LIFE SPRING	142	61
CA	36.228999999999999	-118.30200000000001	JORDAN HOT SPRINGS	124	51
CA	36.674999999999997	-116.923	KEANE WONDER SPRING	93	34
CA	41.125999999999998	-121.02800000000001	KELLOG HOT SPRINGS	172	78
CA	41.45	-120.834	KELLY HOT SPRING	198	92
CA	37.253	-118.373	KEOUGH HOT SPRINGS	124	51
CA	36.476999999999997	-118.404	KERN HOT SPRING	109	43
CA	41.972999999999999	-122.202	KLAMATH HOT SPRING	156	69
CA	41.67	-120.206	LAKE CITY HOT SPRINGS	207	97
CA	33.837000000000003	-117.145	LAKEVIEW HOT SPRINGS	100	38
CA	34.503	-120.21899999999999	LAS CRUCES HOT SPRINGS	99	37
CA	41.6	-120.08799999999999	LEONARDS HOT SPRINGS	144	62
CA	34.536999999999999	-119.613	LITTLE CALIENTE SPRING	90	32
CA	38.767000000000003	-122.748	LITTLE GEYSERS	210	99
CA	37.692	-118.839	LITTLE HOT CREEK SPRING	180	82
CA	41.228999999999999	-121.405	LITTLE HOT SPRING	169	76
CA	36.698	-117.848	LITTLE HUNTER CANYON SPRINGS	81	27
CA	37.573	-121.44499999999999	LONE TREE MINERAL SPRING	73	23
CA	38.393999999999998	-122.55200000000001	LOS GUILICOS WARM SPRINGS	88	31
CA	36.805999999999997	-117.771	LOWER WARM SPRINGS	110	43
CA	38.549999999999997	-122.72	MARK WEST SPRINGS	88	31
CA	34.481999999999999	-119.30200000000001	MATILIJA HOT SPRINGS	109	43
CA	33.732999999999997	-114.907	MCCOY SPRING	82	28
CA	39.728000000000002	-120.547	MCLEAR WARM SPRINGS	86	30
CA	36.703000000000003	-120.86	MERCEY HOT SPRINGS	119	48
CA	40.457000000000001	-121.545	MILL CREEK SPRINGS	150	66
