# Nevada Bureau of Mines and Geology, AASG state geothermal data (aqSpringChemistry)
# source:    https://web2.nbmg.unr.edu/ArcGIS/rest/services/
# taken:     2026-09-11
# sha256:    40a3ce8bd49cab02a7e3fd3cc45f85949dfd936eb460fdbc7cc0e2dffd60edbb
# licence:   US state geological survey data, public domain.
# generated: scripts/fetch-nbmg.mjs -- do not edit by hand
#
# A SNAPSHOT, NOT A PINNED DERIVATION. The upstream is a query service
# with no published archive, so there is nothing to hash but this file.
# data:build is reproducible from it; the fetch is not.
#
# Chemistry only. This service also publishes FluidTemperature_C and it is
# NOT read: it yields twelve springs against the atlas and that seam is
# closed, not deferred.
#
# rows:      6319 across 1411 sampling sites (NV:5405, CO:914)
# values:    calcium 3976, magnesium 1929, sodium 3699, potassium 3569, silica 3668, chloride 4168, sulfate 3902, bicarbonate 1323, iron 1438, ph 1947
# complete:  every service answered
site	name	state	lat	lng	measuredAt	calcium	magnesium	sodium	potassium	silica	chloride	sulfate	bicarbonate	iron	ph
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1976										6.1
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_06-1/	Fremont County Canon City Hot Springs	CO	38.43222	-105.26139	1976										6.2
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_07-1/	La Plata County Carson #1 Well	CO	37.25694	-107.69917	1984	2.7	0.3	310	2.8	23	14	0.7			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_07-1/	La Plata County Carson #1 Well	CO	37.25694	-107.69917	1984	2.7		310	2.8	23	14	0.7			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_07-1/	La Plata County Carson #1 Well	CO	37.25694	-107.69917	1984										8.2
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_08-1/	Gunnison County Cebolla A, (Powderhorn)	CO	38.27389	-107.09833	1920	133.7	50.5	289.5	77.5	78	123.1	123			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_08-1/	Gunnison County Cebolla A, (Powderhorn)	CO	38.27389	-107.09833	1920	133.7		289.5	77.5	78	123.1	123	1189		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_08-1/	Gunnison County Cebolla	CO	38.27389	-107.09833	1975	120	47	310	64	66	120	120			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_08-1/	Gunnison County Cebolla	CO	38.27389	-107.09833	1975	120	50	310	64	77	120	130			
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_08-1/	Gunnison County Cebolla	CO	38.27389	-107.09833	1975	120		310	64	66	120	120	1180		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_08-1/	Gunnison County Cebolla	CO	38.27389	-107.09833	1975	120		310	64	77	120	130	1180		
http://resources.usgin.org/uri-gin/cogs/thermalspring/COHS_08-1/	Gunnison County Cebolla	CO	38.27389	-107.09833	1975	130	51	300	63	79	120	130			
